Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count
173,Morgan Stanley,Trading Operations Manager - Institutional Securities Group Product Operations,trade,38,Fintech
174,Morgan Stanley,Service Team Analyst - International Central Processing Unit,Non-FinTech,14,Nonfintech
175,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
176,Morgan Stanley,Global Banking Service Director,Payments ,66,Fintech
177,Morgan Stanley,Lean Operations Director,Blockchain,62,Fintech
178,Morgan Stanley,Derivatives Funding Controller,trade,32,Fintech
179,Morgan Stanley,EMEA Divisional Management Operations Specialist: Associate,Blockchain,35,Fintech
180,Morgan Stanley,ISG Client Ops Associate,trade,47,Fintech
181,Morgan Stanley,Corporate Services Senior Strategist,Payments ,32,Fintech
182,Morgan Stanley,Tax Manager - UK & EMEA,Planning,44,Fintech
183,Morgan Stanley,Tax Reporting Associate,Planning,46,Fintech
184,Morgan Stanley,Legal Entity Controller Associate,trade,35,Fintech
185,Morgan Stanley,EMEA Client Asset Protection Associate,trade,42,Fintech
186,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
187,Morgan Stanley,PWM Client Service Associate,Non-FinTech,4,Nonfintech
188,Morgan Stanley,Client Service Associate*,trade,21,Fintech
189,Morgan Stanley,Remuneration Governance Specialist,trade,33,Fintech
190,Morgan Stanley,HR Solutions Officer,trade,45,Fintech
191,Morgan Stanley,Analyst - TTRO,Blockchain,49,Fintech
192,Morgan Stanley,Electronic trading Risk Manager - Vice President / Executive Director,Blockchain,72,Fintech
193,Morgan Stanley,Internal Auditor Risk Management - Frankfurt,trade,36,Fintech
194,Morgan Stanley,"Investment Management, Private Equity Analyst /Associate, Thailand",trade,29,Fintech
195,Morgan Stanley,"Prime Brokerage, Business Consulting Services, Associate/VP, Hong Kong",Security,31,Fintech
196,Morgan Stanley,Cash Client Processing Associate,trade,36,Fintech
197,Morgan Stanley,Senior Registered Associate,trade,20,Fintech
198,Morgan Stanley,Client Service Associate*,trade,21,Fintech
199,Morgan Stanley,Fraud Operations Analytics Director - Firmwide Operations.,Payments ,57,Fintech
200,Morgan Stanley,Interest Rates Valuation Risk Controller,trade,26,Fintech
201,Morgan Stanley,Structured Rates Desk Strategist,Non-FinTech,8,Nonfintech
202,Morgan Stanley,Registered Service Associate - Great Lakes,Non-FinTech,14,Nonfintech
203,Morgan Stanley,eRates Desk Strategist,Non-FinTech,14,Nonfintech
204,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
205,Morgan Stanley,Registered Service Associate - Great Lakes,trade,15,Fintech
206,Morgan Stanley,Registered Associate*,trade,20,Fintech
207,Morgan Stanley,Global Workplace Experience Manager - Executive Director,Security,65,Fintech
208,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
209,Morgan Stanley,Portfolio Management Associate,Non-FinTech,14,Nonfintech
210,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
211,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
212,Morgan Stanley,Client Service Associate*,trade,21,Fintech
213,Morgan Stanley,Associate-Sanctions Screening,Payments ,41,Fintech
214,Morgan Stanley,Associate- Company Secretary,Lending ,18,Fintech
215,Morgan Stanley,Director- Policy & Training- Core Compliance Team,Non-FinTech,13,Nonfintech
216,Morgan Stanley,Associate- Wealth Management & Institutional Securities Group ÃÂ Intake support,trade,19,Fintech
217,Morgan Stanley,Manager- Vendor Management Operations,trade,32,Fintech
218,Morgan Stanley,Manager- Sourcing Contracts,Security,25,Fintech
219,Morgan Stanley,Vice President - ISG QC Testing,trade,29,Fintech
220,Morgan Stanley,Manager-GFC Policies and Training,Blockchain,33,Fintech
221,Morgan Stanley,"Vice President, Third Party Program Manager (TPPM) Asia Regional Coverage",trade,47,Fintech
222,Morgan Stanley,"Vice President, Third Party Program Manager (TPPM) Asia Regional Coverage",trade,47,Fintech
223,Morgan Stanley,"Manager, Third Party Program Manager (TPPM) Asia Regional Coverage",trade,40,Fintech
224,Morgan Stanley,"Head of Private Wealth Management Asia Compliance, Singapore Branch",trade,44,Fintech
225,Morgan Stanley,Client Service Associate,trade,21,Fintech
226,Morgan Stanley,Associate ÃÂ Appraisal Management Coordinator (Commercial Real Estate),trade,41,Fintech
227,Morgan Stanley,Registered Associate,trade,18,Fintech
228,Morgan Stanley,Registered Associate,trade,20,Fintech
229,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
230,Morgan Stanley,Marketing Campaign Manager,trade,29,Fintech
231,Morgan Stanley,Business Development Manager,Non-FinTech,8,Nonfintech
232,Morgan Stanley,Client Service Associate,trade,21,Fintech
233,Morgan Stanley,Cybersecurity-Technology Audit Manager,Blockchain,41,Fintech
234,Morgan Stanley,Administrative Assistant,trade,21,Fintech
235,Morgan Stanley,Prime Brokerage Desk Assistant (Ops Spec. Line),trade,52,Fintech
236,Morgan Stanley,Associate - Counterparty Credit Risk (Funds Coverage Team),trade,68,Fintech
237,Morgan Stanley,Client Service Associate*,trade,21,Fintech
238,Morgan Stanley,"GMA and PSG Portfolio Services, Associate - Investment Management Operations",trade,78,Fintech
239,Morgan Stanley,Advisory Billing Modernization,trade,31,Fintech
240,Morgan Stanley,Advisory Billing Modernization,trade,31,Fintech
241,Morgan Stanley,Complex Business Service Officer,Blockchain,28,Fintech
242,Morgan Stanley,Wealth Management Associate *,trade,26,Fintech
243,Morgan Stanley,Client Service Associate,trade,21,Fintech
244,Morgan Stanley,Client Service Associate*,trade,21,Fintech
245,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
246,Morgan Stanley,Branch Administrator,Non-FinTech,8,Nonfintech
247,Morgan Stanley,Branch Administrator,Non-FinTech,8,Nonfintech
248,Morgan Stanley,Commodities Trade Support - Associate,trade,73,Fintech
249,Morgan Stanley,Loan Operations/Services - AVP,trade,35,Fintech
250,Morgan Stanley,"Derivative Clearing Operations, Client Service Group - AVP",trade,40,Fintech
251,Morgan Stanley,Client Reporting Operations - Analyst,trade,49,Fintech
252,Morgan Stanley,"Singapore Branch Operations, Department Manager - Executive Director",trade,29,Fintech
253,Morgan Stanley,Brand and Marketing Manager,trade,107,Fintech
254,Morgan Stanley,Risk Premia Investment Analyst to Senior Associate,trade,50,Fintech
255,Morgan Stanley,Global Head of Corporate Services Vendor Transformation,Blockchain,59,Fintech
256,Morgan Stanley,PWM Senior Registered Associate,trade,20,Fintech
257,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
258,Morgan Stanley,Equity Research - Latin American Consumer Retail & Ecommerce,trade,36,Fintech
259,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
260,Morgan Stanley,Internal Audit - Fixed Income - Vice President,Lending ,24,Fintech
261,Morgan Stanley,Registered Associate,trade,20,Fintech
262,Morgan Stanley,Registered Associate,trade,20,Fintech
263,Morgan Stanley,"Associate, Data Network Operations Engineer",Big Data,23,Fintech
264,Morgan Stanley,"AVP, Operational Risk",trade,48,Fintech
265,Morgan Stanley,Legal Analyst - Bank Governance,trade,28,Fintech
266,Morgan Stanley,Equity Research Administrative Assistant,Lending ,21,Fintech
267,Morgan Stanley,Tuning / Optimization Quantitative Lead,Payments ,53,Fintech
268,Morgan Stanley,"Vice President, Technical Lead",Blockchain,27,Fintech
269,Morgan Stanley,Assistant Vice President,trade,51,Fintech
270,Morgan Stanley,Interest Rates Product Controller,trade,29,Fintech
271,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
272,Morgan Stanley,529 Product Manager,trade,29,Fintech
273,Morgan Stanley,Client Service Associate*,trade,21,Fintech
274,Morgan Stanley,Senior HR Business Partner,Blockchain,29,Fintech
275,Morgan Stanley,Registered Associate,trade,20,Fintech
276,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
277,Morgan Stanley,Analyst - DSP,Payments ,18,Fintech
278,Morgan Stanley,Multi-Asset & Solutions ÃÂ Systematic Strategies Portfolio Manager,Lending ,33,Fintech
279,Morgan Stanley,Multi-Asset & Solutions ÃÂ Structured Investments Portfolio Manager,Lending ,33,Fintech
280,Morgan Stanley,"Exchange Traded Products,Transaction Management Group, Associate / Vice President",trade,21,Fintech
281,Morgan Stanley,"Team Manager, Security settlements",Payments ,19,Fintech
282,Morgan Stanley,Prime Brokerage - Director,trade,69,Fintech
283,Morgan Stanley,Supplier Risk Operations Manager,trade,49,Fintech
284,Morgan Stanley,Client Service Associate*,trade,21,Fintech
285,Morgan Stanley,Human Resources Business Partner - Fixed Income,Blockchain,26,Fintech
286,Morgan Stanley,Morgan Stanley Bank National Association Controllers- Financial Reporting Associate,trade,19,Fintech
287,Morgan Stanley,Analyst - Market / MRMO DQ,Blockchain,44,Fintech
288,Morgan Stanley,"Branch Manager, Non Producing",trade,24,Fintech
289,Morgan Stanley,Associate Regional Business Service Officer,Blockchain,19,Fintech
290,Morgan Stanley,Resident Manager,trade,24,Fintech
291,Morgan Stanley,Client Service Associate*,trade,21,Fintech
292,Morgan Stanley,Client Service Associate*,trade,21,Fintech
293,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
294,Morgan Stanley,Service Associate,Non-FinTech,14,Nonfintech
295,Morgan Stanley,"Business Analyst, Outsourcing Risk Management EMEA Lead - Manager",trade,58,Fintech
296,Morgan Stanley,"EMEA Third Party Programme Management, Senior Manager",trade,40,Fintech
297,Morgan Stanley,"Institutional Equity Division, Equity Delta One Strategist, Hong Kong",Non-FinTech,13,Nonfintech
298,Morgan Stanley,"Technology and Business Transformation Manager Asia, Hong Kong",Blockchain,75,Fintech
299,Morgan Stanley,Regulatory Control Group - Non-Market Risk Associate,Blockchain,35,Fintech
300,Morgan Stanley,Administrative Assistant,Non-FinTech,10,Nonfintech
301,Morgan Stanley,Financial Planning Product ManagerÃÂ Financial Planning,trade,42,Fintech
302,Morgan Stanley,Financial Planning Business Analyst ÃÂ Goals Based Planning Tool,trade,34,Fintech
303,Morgan Stanley,Financial Planning Product Development Associate ÃÂ Goals Based Planning Tool Analytics,trade,51,Fintech
304,Morgan Stanley,Senior Registered Service Associate - Great Lakes,trade,15,Fintech
305,Morgan Stanley,Corporate Services Business Intelligence Analyst - Director,trade,45,Fintech
306,Morgan Stanley,"Finance EMEA COO, Associate/Manager",trade,33,Fintech
307,Morgan Stanley,Coverage Attorney for Mutual Funds and other Registered Products,trade,67,Fintech
308,Morgan Stanley,"Finance Risk Controller, Associate",trade,48,Fintech
309,Morgan Stanley,"Morgan Stanley Investment Management (MSIM) Finance, Associate",trade,30,Fintech
310,Morgan Stanley,"Liquidity & Funding Controller, Senior Manager",Blockchain,31,Fintech
311,Morgan Stanley,"Legal Entity Controller, Analyst",trade,26,Fintech
312,Morgan Stanley,"Legal Entity Controller, Associate",trade,26,Fintech
313,Morgan Stanley,"Regulatory Capital and Accounting Policy Advisor, Senior Manager",trade,67,Fintech
314,Morgan Stanley,Credit Risk Regulatory Controller,trade,41,Fintech
315,Morgan Stanley,Registered Associate,trade,20,Fintech
316,Morgan Stanley,Registered Associate,trade,20,Fintech
317,Morgan Stanley,"Vice President, UX Development",Blockchain,30,Fintech
318,Morgan Stanley,Team Administrative Assistant*,Non-FinTech,7,Nonfintech
319,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
320,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
321,Morgan Stanley,Client Service Associate,trade,21,Fintech
322,Morgan Stanley,Corporate Services:Head of Engineering _India,trade,30,Fintech
323,Morgan Stanley,EMEA Divisional Management - Vice President,Blockchain,35,Fintech
324,Morgan Stanley,Analyst :Market / Counterparty Risk Stress Testing,Non-FinTech,4,Nonfintech
325,Morgan Stanley,Associate - India HR Solutions (Reporting Analyst),Payments ,15,Fintech
326,Morgan Stanley,"Private Wealth Management Asia, Client Service Representative (Associate/Manager), Singapore",trade,29,Fintech
